Year,Board,School,Address,City,Area,energyNorm (ekWh/HDD),ghgNorm (kg/HDD)
2020-2021,Algoma DSB,Ben R McMullin PS,24 Paradise Ave,Sault Ste. Marie,22098,154.8,21.62
2020-2021,Algoma DSB,Blind River PS,19 Hanes Ave,Blind River,48244,154.9,21.62
2020-2021,Algoma DSB,Central Algoma SS,32 Kensington Rd,Desbarats,112881,980.1,135.66
2020-2021,Algoma DSB,Boreal FI,232 Northern Ave E,Sault Ste. Marie,129920,648.2,89.12
2020-2021,Algoma DSB,Anna McCrea PS,250 Mark St,Sault Ste. Marie,32701,267.3,39.53
2020-2021,Algoma DSB,Arthur Henderson PS,2 Henderson Lane,Bruce Mines,24811,125.5,19.39
2020-2021,Algoma DSB,Central Avenue PS,81 Central Ave,Elliot Lake,34556,197.6,29.82
2020-2021,Algoma DSB,Central Plant Office - CLOSED,190 Northern Ave. E.,Sault Ste. Marie,11200,57.7,8.19
2020-2021,Algoma DSB,Chapleau Secondary School & Track Field Facility,20 Teak Street,Chapleau,42636,356,72.58
2020-2021,Algoma DSB,Francis H Clergue PS,80 Weldon Ave,Sault Ste. Marie,27140,268.2,32.24
2020-2021,Algoma DSB,Grandview PS,161 Denwood Dr,Sault Ste. Marie,27538,259.1,35.08
2020-2021,Algoma DSB,Greenwood PS,8 Fourth Line W,Sault Ste. Marie,26630,154.8,22.41
2020-2021,Algoma DSB,Parkland PS,54 Amber St,Sault Ste. Marie,35632,200.8,27.25
2020-2021,Algoma DSB,Pinewood PS,3924 Queen St E,Sault Ste. Marie,22324,135.9,16.57
2020-2021,Algoma DSB,Prince Charles PS,550 Northern Ave E,Sault Ste. Marie,17943,119.8,16.67
2020-2021,Algoma DSB,Thessalon PS,90 Stanley Street,Thessalon,18783,135.8,20.21
2020-2021,Algoma DSB,Thessalon PS Annex (Federation St),266 Federation St.,Thessalon,10951,66.3,9.58
2020-2021,Algoma DSB,W C Eaket SS,147 Woodward Ave,Blind River,107773,574.8,89.97
2020-2021,Algoma DSB,H M Robbins PS,83 East Balfour St,Sault Ste. Marie,25184,133.4,17.54
2020-2021,Algoma DSB,Hornepayne Jk-12 School (Elementary & Secondary),162 Fourth Avenue,Hornepayne,24305,191.3,4.87
2020-2021,Algoma DSB,Isabel Fletcher PS,599 Third Line W,Sault Ste. Marie,25640,150.2,18.71
2020-2021,Algoma DSB,Queen Elizabeth PS,139 Elizabeth St,Sault Ste. Marie,25798,154.8,18.68
2020-2021,Algoma DSB,R M Moore PS,1272 Base Line,Sault Ste. Marie,24725,146.9,19.9
2020-2021,Algoma DSB,River View PS,51 Wireless Ave,Sault Ste. Marie,29956,146.1,19.41
2020-2021,Algoma DSB,White Pines C & VS & Intermediate School,1007 Trunk Rd,Sault Ste. Marie,189994,1202.4,152.11
2020-2021,Algoma DSB,East View PS,75 Arizona Ave,Sault Ste. Marie,29482,162.7,22.35
2020-2021,Algoma DSB,Echo Bay Central PS,290 Church St,Echo Bay,18783,150,20.58
2020-2021,Algoma DSB,Education Centre,644 Albert St. E.,Sault Ste. Marie,45569,333.1,37.14
2020-2021,Algoma DSB,Kiwedin PS,735 North St,Sault Ste. Marie,24018,178.2,23.11
2020-2021,Algoma DSB,Korah C & VS,636 Goulais Ave,Sault Ste. Marie,179994,829.9,108.16
2020-2021,Algoma DSB,Michipicoten HS,86 Magpie Rd.,Wawa,87540,534,71.96
2020-2021,Algoma DSB,Rockhaven TR School,1859 Riverview Road,Serpent River,7750,54.9,10.12
2020-2021,Algoma DSB,Northland Learning Centre,440 Northland Rd,Sault Ste. Marie,17782,147.2,21.5
2020-2021,Algoma DSB,Sir James Dunn P.S.,36 McKinley St.,Wawa,35582,166.9,33.44
2020-2021,Algoma DSB,Elliot Lake SS (Sec),303 Mississauga Ave,Elliot Lake,102333,614.6,85.14
2020-2021,Algoma DSB,Esten Park Public School,115 Hergott Avenue,Elliot Lake,28866,154.9,20.11
2020-2021,Algoma DSB,Etienne Brule PS,226 Queen St W,Sault Ste. Marie,40537,261.3,35.74
2020-2021,Algoma DSB,Missarenda Consolidated PS ,P.O. Box 62,Missanabie,5050,2.3,0.06
2020-2021,Algoma DSB,Mountain View PS,21 Mahler Rd,Goulais River,29784,30.9,0.79
2020-2021,Algoma DSB,Northern Heights PS,210 Grand Blvd,Sault Ste. Marie,22852,132.3,18.89
2020-2021,Algoma DSB,St Joseph Island Central S,1326 Richards Street,Richards Landing,24047,162.8,33.34
2020-2021,Algoma DSB,Superior Heights C&VS & Intermediate School,750 North St,Sault Ste Marie,177852,1134.9,132.77
2020-2021,Algoma DSB,Tarentorus PS,96 Northwood St,Sault Ste. Marie,25306,191.5,25.28
2020-2021,Algonquin & Lakeshore CDSB,Georges Vanier Catholic School,100 Tracey Street,Belleville,32968,208.9,17.57
2020-2021,Algonquin & Lakeshore CDSB,Holy Cross Catholic Secondary School,1085 Woodbine Rd,Kingston,142034,796.3,71.86
2020-2021,Algonquin & Lakeshore CDSB,Holy Name Catholic School,"370 Kingston Mills Road, RR 6",Kingston,22244,71.8,1.83
2020-2021,Algonquin & Lakeshore CDSB,John XXIII Catholic School,736 High Gate Park Dr,Kingston,27585,123.1,15.22
2020-2021,Algonquin & Lakeshore CDSB,Mother Teresa Catholic School,1044 Lancaster Dr,Kingston,39504,285.4,31.9
2020-2021,Algonquin & Lakeshore CDSB,Nicholson Catholic College,301 Church Street,Belleville,90580,678.6,94.29
2020-2021,Algonquin & Lakeshore CDSB,Our Lady of Mount Carmel Catholic School,97 Park Cres,Amherstview,31375,120.3,17.68
2020-2021,Algonquin & Lakeshore CDSB,Plant Operations (East),131  Grant Timmins Drive,Kingston,6000,39.3,4.45
2020-2021,Algonquin & Lakeshore CDSB,Plant Operations (West),347 Maitland Dr,Belleville,7850,31.3,3.99
2020-2021,Algonquin & Lakeshore CDSB,Sacred Heart Catholic School (Wolfe Island),"57 Road 95, Box 59",Wolfe Island,16139,45.8,6.97
2020-2021,Algonquin & Lakeshore CDSB,St Carthagh Catholic School,"114 Hungerford Road, P.O. Box 279",Tweed,33513,199.9,29.23
2020-2021,Algonquin & Lakeshore CDSB,St Gregory Catholic School,"7 Owen Street, P.O. Box 1449",Picton,25462,138.8,19.73
2020-2021,Algonquin & Lakeshore CDSB,ALCDSB Catholic Education Centre,151 Dairy Ave,Napanee,26059,202,21.84
2020-2021,Algonquin & Lakeshore CDSB,Archbishop O Sullivan Catholic School,974 Pembridge Cres,Kingston,29289,233.3,23.86
2020-2021,Algonquin & Lakeshore CDSB,Ecole Cathedrale Catholic School,301 Johnson St,Kingston,35080,141,21.28
2020-2021,Algonquin & Lakeshore CDSB,Holy Name of Mary Catholic School,7314 Old Highway 2,Marysville,12311,75.3,13.22
2020-2021,Algonquin & Lakeshore CDSB,Holy Rosary Catholic School,10 Prince of Wales Drive,Belleville,20311,145.1,19.29
2020-2021,Algonquin & Lakeshore CDSB,J J O'Neill Catholic School,240 Marilyn Ave,Napanee,20249,153.7,13.67
2020-2021,Algonquin & Lakeshore CDSB,Our Lady of Fatima Catholic School,300 Sidney Street,Belleville,20416,212.1,22.07
2020-2021,Algonquin & Lakeshore CDSB,Our Lady of Lourdes Catholic School,20 Cranbrook St,Kingston,23734,190.6,25.61
2020-2021,Algonquin & Lakeshore CDSB,Our Lady of Mercy Catholic School,"192 Bridge Street, West, P.O. Box 778",Bancroft,20774,120.3,13.95
2020-2021,Algonquin & Lakeshore CDSB,Regiopolis - Notre Dame Catholic Secondary School,130 Russell St,Kingston,136982,655.4,52.78
2020-2021,Algonquin & Lakeshore CDSB,Sacred Heart Catholic School (Batawa),"31 Thomas Bata Blvd., P.O. Box 135",Batawa,15559,118.2,10.26
2020-2021,Algonquin & Lakeshore CDSB,Sacred Heart Catholic School (Marmora),"50 Bursthall Street, P.O. Box 280",Marmora,19454,122.7,15.7
2020-2021,Algonquin & Lakeshore CDSB,St Joseph Catholic School,"405 Bridge Street, East",Belleville,28446,187.4,26.93
2020-2021,Algonquin & Lakeshore CDSB,St Marguerite Bourgeois Catholic School,355 Waterloo Drive,Kingston,35765,241,30.74
2020-2021,Algonquin & Lakeshore CDSB,St Martha Catholic School,455 St. Martha Street,Kingston,48040,254.3,35.75
2020-2021,Algonquin & Lakeshore CDSB,St Martin Catholic School,"1 Post Street, PO Box 177",Whitney,15100,82.3,2.09
2020-2021,Algonquin & Lakeshore CDSB,St Mary Catholic School (Read),"1285 Read Side Road, RR 1",Shannonville,7666,34.9,3.66
2020-2021,Algonquin & Lakeshore CDSB,St Mary Catholic School (Trenton),85 Campbell Street,Trenton,46394,381.3,55.57
2020-2021,Algonquin & Lakeshore CDSB,St Paul Catholic School (Kingston),266 McMahon Ave,Kingston,14485,163.2,24.19
2020-2021,Algonquin & Lakeshore CDSB,St Paul Catholic Secondary School,15 Tripp Blvd.,Trenton,69915,391.8,31.42
2020-2021,Algonquin & Lakeshore CDSB,St Peter Catholic School (Kingston),48 Seventh Ave,Kingston,14446,97,9.74
2020-2021,Algonquin & Lakeshore CDSB,St. Francis of Assisi Catholic School,114 Wiley Street,Kingston,36468,172.6,20.81
2020-2021,Algonquin & Lakeshore CDSB,St. James Major Catholic School ,14608 HWY 38,Sharbot Lake,3455,25.7,0.65
2020-2021,Algonquin & Lakeshore CDSB,St. Peter Catholic School (K-6),15 Tripp Blvd,Trenton,25188,104.1,2.65
2020-2021,Algonquin & Lakeshore CDSB,St Michael Catholic School,273 Church Street,Belleville,55420,368.7,39.09
2020-2021,Algonquin & Lakeshore CDSB,St Patrick Catholic School (Erinsville),6041 Highway 41,Erinsville,9418,101.8,23.85
2020-2021,Algonquin & Lakeshore CDSB,St Patrick Catholic School (Harrowsmith),389 Wilton Rd,Harrowsmith,24584,173.8,30.07
2020-2021,Algonquin & Lakeshore CDSB,St Peter Catholic School (Trenton),101 Queen Street,Trenton,55514,5.5,0.87
2020-2021,Algonquin & Lakeshore CDSB,St Theresa Catholic Secondary School,135 Adam Street,Belleville,97647,626.1,79.33
2020-2021,Algonquin & Lakeshore CDSB,St Thomas More Catholic School,234 Norman Rogers Dr,Kingston,26336,115.1,13.24
2020-2021,Algonquin & Lakeshore CDSB,Storage Wharehouse,108 Dairy Ave,Napanee,1500,9,1.05
2020-2021,Avon Maitland DSB,Anne Hathaway Public School,77 Bruce St,Stratford,51947,316,36.01
2020-2021,Avon Maitland DSB,Avon PS,31 Huntingdon Ave,Stratford,33207,271.1,33.2
2020-2021,Avon Maitland DSB,Bedford PS,59 Bedford Dr,Stratford,38438,360.1,53.9
2020-2021,Avon Maitland DSB,CEL Goderich,41  West St,Goderich,4317,20.1,2.59
2020-2021,Avon Maitland DSB,CEL Seaforth ,9 Goderich  St,Seaforth ,2400,16,2.55
2020-2021,Avon Maitland DSB,"CEL, Clinton",60-70 Mary Street,Clinton,3144,4.7,0.41
2020-2021,Avon Maitland DSB,Clinton PS,27 Percival St,Clinton,43641,288.6,37.36
2020-2021,Avon Maitland DSB,Downie Central PS,4384 Line 20 (Down-PS),St. Pauls,20904,110.9,14.91
2020-2021,Avon Maitland DSB,Elma Township,5972 Line 72 (Elma-NP),Atwood,37367,279.7,41.49
2020-2021,Avon Maitland DSB,Goderich Public School,125 Blake St W,Goderich,48707,338.4,44.89
2020-2021,Avon Maitland DSB,Hamlet PS,315 West Gore St,Stratford,30924,157.6,22.41
2020-2021,Avon Maitland DSB,Howick Central S,45010 Harriston Rd (How),Gorrie,32895,163.1,25.27
2020-2021,Avon Maitland DSB,Listowel Eastdale PS,365 Nichol Ave S,Listowel,27868,268.8,39.81
2020-2021,Avon Maitland DSB,Little Falls PS,25 Lindsay Atkinson Drive,St. Marys,42202,403,56.49
2020-2021,Avon Maitland DSB,Maitland River ES,250 John St. East,Wingham,46339,268.5,30.84
2020-2021,Avon Maitland DSB,North Easthope PS,4672  Road 108 (NEH-PE) Rd,Stratford,21786,156.9,23.71
2020-2021,Avon Maitland DSB,North Perth Westfield ES,955 Binning St W,Listowel,71735,531.2,70.89
2020-2021,Avon Maitland DSB,North Woods ES,84295 Ethel Line,Ethel,21883,89.5,2.28
2020-2021,Avon Maitland DSB,Shakespeare PS,35 Mowat St,Stratford,25155,71.5,5.35
2020-2021,Avon Maitland DSB,South Huron DHS & DES,92 Gidley St E,Exeter,127865,1275.7,199.33
2020-2021,Avon Maitland DSB,South Perth Centennial PS,1866 Road 163 (Blan-PS),St. Marys,25952,156.8,22.07
2020-2021,Avon Maitland DSB,Bluewater Coast ES,85 York Street,Hensall,24165,120.8,17.08
2020-2021,Avon Maitland DSB,Brookside PS,36937 Belgrave Rd (Ashf-ACW),Lucknow,28341,174.4,32.81
2020-2021,Avon Maitland DSB,"CEL - Exeter, Huron Employment Resource",349 Main St.,Exeter,7920,61,9.51
2020-2021,Avon Maitland DSB,"CEL, Wingham",152 Josephine St,Wingham,4365,8.6,1
2020-2021,Avon Maitland DSB,Central Huron SS & Clinton Administration,165  Princess St E,Clinton,157821,699.1,91.26
2020-2021,Avon Maitland DSB,Central Perth E S,4663 Road 135 (Ellc-PE),Sebringville,29999,174.2,19.8
2020-2021,Avon Maitland DSB,Exeter PS,93 Victoria St,Exeter,40731,382.2,57.18
2020-2021,Avon Maitland DSB,F E Madill SS & ES,231 Madill Drive,Wingham,189187,1153.1,163.48
2020-2021,Avon Maitland DSB,Goderich District CI & Goderich District CI Elementary,260 South St,Goderich,115949,629.7,85.32
2020-2021,Avon Maitland DSB,Hullett Central PS,269 King St.,Londesboro,24657,140,18.9
2020-2021,Avon Maitland DSB,Huron Centennial S,RR 1 39978 Centennial Rd,Brucefield,36737,201.2,27.19
2020-2021,Avon Maitland DSB,Listowel DSS,155 Maitland Ave S,Listowel,155454,1421.6,222.69
2020-2021,Avon Maitland DSB,Milverton PS,"68 Mill Street E., Box 457",Milverton,34165,229.1,31.61
2020-2021,Avon Maitland DSB,Mitchell DHS,95 Frances St,Mitchell,88272,668.8,98.69
2020-2021,Avon Maitland DSB,Mornington Central PS,7241 Road 131 (Morn-PE),Newton,16841,134.1,19.26
2020-2021,Avon Maitland DSB,Romeo PS,49 Rebecca St,Stratford,20731,187.5,25.84
2020-2021,Avon Maitland DSB,Seaforth PS & Administration & Maintenance,58 Chalk St N,Seaforth,76499,822.7,120.98
2020-2021,Avon Maitland DSB,SERC Library & Day Care,220 Oakdale Ave,Stratford,33701,256.3,28.24
2020-2021,Avon Maitland DSB,Sprucedale PS,59 Fraser Street,Shakespeare,20784,126.1,17.18
2020-2021,Avon Maitland DSB,St Marys DC & VI & Elementary,338 Elizabeth St. Box 970,St. Marys,102043,397.8,46.37
2020-2021,Avon Maitland DSB,Stephen Central PS,70042 Goshen Line (Steph-SH),Crediton,22410,201.7,30.42
2020-2021,Avon Maitland DSB,Stratford District Secondary School,428 Forman Ave.,Stratford,203146,1840.6,287.02
2020-2021,Avon Maitland DSB,Stratford Intermediate,60 St. Andrew St.,Stratford,125960,564.1,75.37
2020-2021,Avon Maitland DSB,Upper Thames E S,165 Frances St. RR#5,Mitchell,66338,459.2,51.91
2020-2021,Bluewater DSB,Beaver Valley Community S,189 Bruce St,Thornbury,54071,255.3,31.19
2020-2021,Bluewater DSB,Beavercrest Community S,101 Main St E,Markdale,30800,284.3,43.51
2020-2021,Bluewater DSB,Bluewater Education Centre,351 1st Ave North,Chesley,42994,295.7,30.43
2020-2021,Bluewater DSB,Dawnview Public S,149 12th Ave,Hanover,24092,256.7,39.08
2020-2021,Bluewater DSB,Dundalk & Proton Community S,251 Young St,Dundalk,31345,186.9,20.82
2020-2021,Bluewater DSB,Dundalk Highpoint School,351 Main St,Dundalk,30206,195,25.97
2020-2021,Bluewater DSB,G C Huston P S,61 Victoria St. N.,Southampton,33437,178.2,25.05
2020-2021,Bluewater DSB,Georgian Bay SS,125 Eliza St,Meaford,152601,1482.7,235.58
2020-2021,Bluewater DSB,Grey Highlands SS,Highway #10,Flesherton,143350,1093.5,167.4
2020-2021,Bluewater DSB,Hillcrest Teeswater Central School,31 Hillcrest St. W.,Teeswater,21575,110.5,6.27
2020-2021,Bluewater DSB,Holland-Chatsworth Central S,777346 Hwy. 10,Holland Centre,32424,136,21.57
2020-2021,Bluewater DSB,Huron Heights Public School,785 Russell Street,Kincardine,33357,142.3,19.63
2020-2021,Bluewater DSB,Kincardine District SS,885 Park Lane,Kincardine,81211,304.1,43.51
2020-2021,Bluewater DSB,Kincardine Township-Tiverton PS,1805 Hwy 21,Kincardine,29396,118.9,8.67
2020-2021,Bluewater DSB,Lucknow Central P S,Box 208 Bob Street,Lucknow,29106,159.8,26.74
2020-2021,Bluewater DSB,Northport E S,1000 Waterloo Street,Port Elgin,38366,197,24.04
2020-2021,Bluewater DSB,Osprey Central S,408053 Grey Rd 4.,Maxwell,32353,170.4,27.01
2020-2021,Bluewater DSB,Owen Sound District SS,750 9th St W,Owen Sound,151581,808.2,107.17
2020-2021,Bluewater DSB,Ripley Huron Community School,2 Queen St,Ripley,36346,184.6,28.18
2020-2021,Bluewater DSB,Saugeen District SS,780 Gustavus St,Port Elgin,133706,349.6,25.52
2020-2021,Bluewater DSB,Spruce Ridge Elementary,239 Kincardine St.,Durham,50053,398.1,56.88
2020-2021,Bluewater DSB,Alexandra Community School,1556 8th avenue east,Owen Sound,26834,168.2,23.06
2020-2021,Bluewater DSB,Amabel-Sauble Community S,R.R. #1 555 Sauble Parkway,Sauble Beach,40451,193.1,20.33
2020-2021,Bluewater DSB,Arran Tara E S,106 Brook St West,Tara,31248,155.4,20.04
2020-2021,Bluewater DSB,Bluewater Maintenance Building,317896 Hwy 6 & 10,Derby,7100,39.9,1.02
2020-2021,Bluewater DSB,Bruce Peninsula District School,5 Moore Street,Lions Head,47458,213.4,32.44
2020-2021,Bluewater DSB,Chesley District Community School,231 4th Ave S.E.,Chesley,73189,352.7,56.34
2020-2021,Bluewater DSB,East Ridge Community School,1550 8th street east,Owen Sound,139844,914,127.73
2020-2021,Bluewater DSB,Egremont Community S,392141 Grey Rd. 109,Holstein,19362,85.5,2.18
2020-2021,Bluewater DSB,Elgin Market P S,305 Queen St Street North,Kincardine,24865,138.2,20.75
2020-2021,Bluewater DSB,Hanover Heights,524 13th Street,Hanover,51576,184.1,21.42
2020-2021,Bluewater DSB,Hepworth Central School,BOX 100 43 QUEEN STREET EAST,Hepworth,47847,221.5,23.86
2020-2021,Bluewater DSB,Hillcrest Elementary School,501 8th St W,Owen Sound,64606,532.6,81.06
2020-2021,Bluewater DSB,Institute for Outdoor Education & Environmental Studies,RR 3,Wiarton,12501,33.7,6.65
2020-2021,Bluewater DSB,John Diefenbaker Senior School Elementary & Secondary,201 18TH Ave,HANOVER,87722,340.7,41.17
2020-2021,Bluewater DSB,Keppel-Sarawak E S,RR 2,Owen Sound,33515,181.4,26.11
2020-2021,Bluewater DSB,Macphail Memorial Elementary School,29 Campbell Street,Flesherton,54192,262.9,30.3
2020-2021,Bluewater DSB,Mildmay-Carrick Central S,Box 310 Vincent Street,Mildmay,21858,145.4,19.56
2020-2021,Bluewater DSB,Normanby Community S,574 Lousia St.,Ayton,26154,95.9,2.44
2020-2021,Bluewater DSB,Paisley Central School,Box 280 182 Arnaud Street,Paisley,24041,93.1,2.37
2020-2021,Bluewater DSB,Peninsula Shores District School,"542 WATSON ST, NEW HIGH SCHOOL",Wiarton,94981,521.9,63.35
2020-2021,Bluewater DSB,Port Elgin-Saugeen Central S,504 Catherine Street,Port Elgin,55507,289.9,38.58
2020-2021,Bluewater DSB,St Edmunds P S,Box 118 R.R. #1 East Bury Rd,Tobermory,14122,53.4,1.36
2020-2021,Bluewater DSB,St Vincent-Euphrasia E S,555 St Vincent St,Meaford,34724,164.2,24.09
2020-2021,Bluewater DSB,Sullivan Community S,13285 Grey Road 40,Desboro,21072,114,17.11
2020-2021,Bluewater DSB,Walkerton District Community School,1320 Yonge St. South,Walkerton,112133,450,47.3
2020-2021,Brant Haldimand Norfolk CDSB,Assumption College School,257 Shellard Lane,Brantford,199482,897.1,64.79
2020-2021,Brant Haldimand Norfolk CDSB,Blessed Sacrament,185 King Street West,Burford,24918,117.1,16.93
2020-2021,Brant Haldimand Norfolk CDSB,Catholic Education Center,322 Fairview Drive,Brantford,13156,73,8.15
2020-2021,Brant Haldimand Norfolk CDSB,Holy Family,20 Sunset Drive,Paris,24067,159.4,22.82
2020-2021,Brant Haldimand Norfolk CDSB,Holy Trinity Catholic High School,128 Evergreen Hill Rd.,Simcoe,151593,720,71.34
2020-2021,Brant Haldimand Norfolk CDSB,Information Technology Services Building,344 Erie Ave,Brantford,5385,63.6,4.16
2020-2021,Brant Haldimand Norfolk CDSB,Our Lady of Providence,55 Kent Street,Brantford,36929,133.5,14.93
2020-2021,Brant Haldimand Norfolk CDSB,Resurrection,17 Ravenwood Road,Brantford,23664,114.5,14.16
2020-2021,Brant Haldimand Norfolk CDSB,Sacred Heart (Langton),26 Albert Street,Langton,23502,137.5,18.32
2020-2021,Brant Haldimand Norfolk CDSB,St Cecilia,3 Lynn Park Avenue,Port Dover,16414,97.5,13.12
2020-2021,Brant Haldimand Norfolk CDSB,St Frances Cabrini,373 Northern Avenue,Delhi,27185,135.6,17.66
2020-2021,Brant Haldimand Norfolk CDSB,St Gabriel Catholic Elementary School,14 Flanders Drive,Brantford,45294,288.1,33.2
2020-2021,Brant Haldimand Norfolk CDSB,Christ the King,165 Dufferin Avenue,Brantford,18978,107.4,13.18
2020-2021,Brant Haldimand Norfolk CDSB,Facilities Department,49 Dalkeith Drive,Brantford,7229,49.6,6.63
2020-2021,Brant Haldimand Norfolk CDSB,Holy Cross,358 Marlborough Steet,Brantford,19877,86.6,9.39
2020-2021,Brant Haldimand Norfolk CDSB,Jean Vanier,120 Ninth Avenue,Brantford,44703,215.1,22.53
2020-2021,Brant Haldimand Norfolk CDSB,Notre Dame (Caledonia),35 Braemar Avenue,Caledonia,35444,170.9,22.86
2020-2021,Brant Haldimand Norfolk CDSB,Our Lady of Fatima,120 Talbot Road,Courtland,12932,82,11.63
2020-2021,Brant Haldimand Norfolk CDSB,Sacred Heart School (Paris),180 Grandville Circle,Paris,45854,222.5,28.66
2020-2021,Brant Haldimand Norfolk CDSB,St Basil Catholic Elementary School,365 Blackburn Drive,Brantford,102957,416.4,38.32
2020-2021,Brant Haldimand Norfolk CDSB,St Bernard of Clairvaux,250 Washington Street,Waterford,18104,100.1,13.99
2020-2021,Brant Haldimand Norfolk CDSB,St John's College,80 Paris Rd,Brantford,168450,948.8,98.64
2020-2021,Brant Haldimand Norfolk CDSB,St Josephs,34 Potts Road,Simcoe,40355,181.3,16.7
2020-2021,Brant Haldimand Norfolk CDSB,St Leo,233 Memorial Drive,Brantford,33932,165.7,20.38
2020-2021,Brant Haldimand Norfolk CDSB,St Mary Learning Centre (Brantford),455 Colborne Street,Brantford,19080,103.3,13.72
2020-2021,Brant Haldimand Norfolk CDSB,St Marys S (Hagerville),92 Main St S,Hagersville,15662,98.1,13.18
2020-2021,Brant Haldimand Norfolk CDSB,St Michael's (Dunnville),209 Alder St W,Dunnville,27246,90.5,10.06
2020-2021,Brant Haldimand Norfolk CDSB,St Peter,175 Glenwood Drive,Brantford,15430,63.7,7.33
2020-2021,Brant Haldimand Norfolk CDSB,St Pius X,127 Wood Street,Brantford,32337,144.9,15.91
2020-2021,Brant Haldimand Norfolk CDSB,St Stephen's,17 Brant St W,Cayuga,17976,90,9.95
2020-2021,Brant Haldimand Norfolk CDSB,St Michael's (Walsh),972 St.John's Road West R.R #2,Simcoe,14847,122.4,18.19
2020-2021,Brant Haldimand Norfolk CDSB,St Patrick's (Brantford),320 Fairview Drive,Brantford,19144,138.9,18.91
2020-2021,Brant Haldimand Norfolk CDSB,St Patrick's (Caledonia),81 Orkney St E,Caledonia,29584,114.1,14.9
2020-2021,Brant Haldimand Norfolk CDSB,St Theresa,12 Dalewood Avenue,Brantford,20854,154.2,23.22
2020-2021,Bruce-Grey CDSB,Sacred Heart S,18 Peter St N,South Bruce,19926,103.7,14.37
2020-2021,Bruce-Grey CDSB,St. Teresa of Calcutta Catholic School,81 Cemetery Rd,Brockton,39863,238.8,34.17
2020-2021,Bruce-Grey CDSB,Mary Immaculate Community S,6 Ann St,Brockton,18091,92.3,15.87
2020-2021,Bruce-Grey CDSB,Catholic Education Centre & Warehouse,799 16th Avenue,Hanover,24361,79.1,8.4
2020-2021,Bruce-Grey CDSB,Holy Family Sep S,334 10th Ave,Hanover,29859,179.7,27.39
2020-2021,Bruce-Grey CDSB,St Basil's ES,925 9th Ave W,Owen Sound,39670,157.1,20.43
2020-2021,Bruce-Grey CDSB,Sacred Heart HS,450 Robinson St,Brockton,108498,672.7,91.2
2020-2021,Bruce-Grey CDSB,St Mary's HS,555 15th St E,Owen Sound,126671,605.8,80.48
2020-2021,Bruce-Grey CDSB,Notre Dame Catholic S,885 25th St E,Owen Sound,48876,404.5,59.47
2020-2021,Bruce-Grey CDSB,St Peter's & St Paul's Sep S,190 John St,West Grey,23625,178.3,27.77
2020-2021,Bruce-Grey CDSB,Sacred Heart Sep S,49 Gordon St E,South Bruce,13245,143.3,22.25
2020-2021,Bruce-Grey CDSB,St Joseph's S,584 Stafford St,Saugeen Shores,30362,107,13.71
2020-2021,Bruce-Grey CDSB,Immaculate Conception Sep S,201 Concession 12,South Bruce,29320,176.4,24.6
2020-2021,Bruce-Grey CDSB,St Anthony's Sep S,709 Russell St,Kincardine,35926,138.5,17.4
2020-2021,CDSB of Eastern Ontario,Bishop Macdonell,300 Adolphus St,Cornwall,39224,122.1,18.86
2020-2021,CDSB of Eastern Ontario,Holy Trinity CHS & ES,18044 Tyotown Rd. R.R. # 1,Cornwall,79158,318.6,37.18
2020-2021,CDSB of Eastern Ontario,Immaculate Conception Sold 2018,600 McConnell Avenue,Cornwall,27785,0,0
2020-2021,CDSB of Eastern Ontario,Iona Academy,"RR#2, 20019 King's Road",Williamstown,25360,242.9,46.82
2020-2021,CDSB of Eastern Ontario,Our Lady of Good Counsel,"Box 428, 52 Dickinson Drive",Ingleside,15274,92.7,11.22
2020-2021,CDSB of Eastern Ontario,Pope John Paul,3818 Legault Road,Hammond,37216,172.2,14.93
2020-2021,CDSB of Eastern Ontario,Sacred Heart (Cornwall) Sold May 2019,1424 Aubin Avenue,Cornwall,29293,0,0
2020-2021,CDSB of Eastern Ontario,St. Anne,607 Surgenor St.,Cornwall,26525,133.6,18.72
2020-2021,CDSB of Eastern Ontario,St. Columban's West,323 Augustus Street,Cornwall,26156,113.7,20.23
2020-2021,CDSB of Eastern Ontario,St. Edward,"Box 309, 51 Bedford St.",Westport,12670,38.8,0.99
2020-2021,CDSB of Eastern Ontario,St. Francis Xavier CHS,1235 Russell Road,Hammond,82409,367.3,36.33
2020-2021,CDSB of Eastern Ontario,St. George Sold 2016,"P.O. Box 310, 31 Bethune Street",Long Saul,14995,0,0
2020-2021,CDSB of Eastern Ontario,St. Gregory,176 Town Line W,Carleton Place,37994,185.4,21.74
2020-2021,CDSB of Eastern Ontario,St. John Elementary,34 Wilson Street East,Perth,46289,187.9,23.7
2020-2021,CDSB of Eastern Ontario,St. Joseph (Gananoque),235 Georgiana St.,Gananoque,35066,102.6,18.24
2020-2021,CDSB of Eastern Ontario,St. Joseph (Toledo),"80 County Road #1, Main St.",Toledo,20120,140.1,14.72
2020-2021,CDSB of Eastern Ontario,St. Mary - St. Cecilia,28 Shea Drive,Morrisburg,21091,111.9,12.52
2020-2021,CDSB of Eastern Ontario,St. Mary (Carleton Place),4 Hawthorne Avenue,Carleton Place,27219,108,12.54
2020-2021,CDSB of Eastern Ontario,St. Mary (Chesterville),"Box 429, 37 Main St.",Morrisburg,20914,70.2,10.03
